idHome,idAway,GD Home,GD Away,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Point Home,Point Away,Outcome
85,52,-16,-18,51,39,26,16,71,56,21,20,8,3,0,0,26,19,1
38,39,-21,-16,48,52,26,17,57,71,22,27,12,6,1,0,23,23,1
47,63,7,-13,51,44,24,22,69,52,32,22,10,11,0,0,36,21,0
87,62,21,23,67,73,42,41,55,62,40,31,3,9,0,0,54,43,0
70,79,37,4,110,43,67,21,45,57,38,22,10,9,0,0,58,41,-1
75,67,34,1,72,57,39,21,41,70,35,30,3,11,0,0,60,39,1
63,75,-13,36,38,64,21,35,64,48,26,37,12,4,0,0,22,63,1
52,47,-19,7,44,54,19,27,59,74,19,32,4,7,0,1,19,37,0
62,85,23,-15,68,55,34,28,67,65,31,23,9,9,0,0,44,29,1
39,70,-18,36,42,111,24,63,60,40,28,44,7,10,1,0,28,58,-1
72,38,10,-19,54,50,26,26,58,59,20,21,6,8,0,0,41,26,0
39,77,-18,-42,67,38,27,21,61,57,34,21,6,12,0,1,23,9,0
67,51,-1,-9,55,56,20,28,64,71,28,20,8,6,0,0,39,25,1
50,38,-23,14,45,47,22,28,58,76,45,34,6,6,0,0,22,44,-1
79,47,5,18,40,53,21,27,56,71,22,32,6,7,0,0,44,47,-1
75,38,36,15,74,52,39,31,53,76,30,28,5,7,0,0,64,47,-1
63,64,-13,7,38,51,20,35,63,64,24,32,10,11,1,0,23,32,1
77,38,-44,-20,41,43,23,23,57,58,22,17,12,7,0,0,9,26,0
52,70,-20,40,53,97,31,52,58,45,17,32,6,9,1,0,19,61,-1
79,39,3,-16,55,77,32,41,51,55,22,42,5,4,1,0,44,26,0
85,50,-16,-24,53,48,28,25,72,57,22,49,13,6,1,0,29,22,0
39,67,-22,2,45,53,24,20,66,62,34,27,10,9,0,0,28,42,0
47,87,8,21,54,61,24,40,72,61,32,38,7,6,1,0,40,55,-1
51,62,-12,24,62,67,32,35,75,64,22,28,8,10,0,0,25,47,-1
47,72,20,11,56,62,30,31,71,65,35,20,6,6,0,0,50,44,0
62,47,26,4,62,52,37,26,67,66,30,28,9,3,0,1,50,40,1
67,52,3,-23,53,61,21,38,62,51,28,16,10,6,0,1,45,19,0
62,39,30,-23,69,49,43,28,57,62,40,39,6,10,0,0,53,28,1
50,79,-23,3,45,56,22,32,63,48,43,21,10,3,0,1,25,45,0
38,47,-20,22,42,58,20,29,60,68,15,40,6,5,0,0,27,53,0
64,47,4,0,64,46,43,26,63,70,31,27,7,6,0,1,32,40,1
39,75,-16,36,71,79,43,42,47,51,38,35,4,5,0,0,27,65,0
38,85,15,-17,53,53,32,28,74,56,33,26,7,14,0,1,48,29,-1
87,77,25,-44,66,41,42,22,50,67,35,24,6,15,1,0,58,10,1
72,63,9,-10,53,36,28,23,69,68,17,23,6,10,0,1,44,26,0
75,85,36,-17,79,56,44,27,48,65,36,26,6,18,0,1,66,30,-1
77,70,-49,43,33,92,19,53,73,50,18,32,15,8,0,0,10,64,0
62,50,33,-21,70,51,45,28,57,63,48,41,6,10,0,0,56,28,0
72,38,11,15,63,53,34,32,66,75,18,35,5,7,0,0,47,49,1
38,87,-21,30,42,68,20,43,68,52,14,32,7,5,0,1,27,61,-1
47,67,-4,3,49,58,29,21,75,66,28,28,5,10,2,0,40,46,0
52,47,-23,23,60,54,38,29,53,63,21,37,8,5,1,0,20,56,0
79,64,1,8,58,65,32,41,48,56,21,33,4,5,1,0,45,35,-1
39,51,-16,-14,67,62,40,29,44,67,37,19,5,8,0,0,28,25,1
63,39,-12,-26,38,48,26,29,60,54,18,45,8,7,1,0,26,28,1
70,51,44,-15,84,61,48,32,48,69,38,20,9,11,0,0,67,25,1
64,87,7,31,72,63,44,36,47,48,36,29,4,6,0,1,35,64,-1
38,38,13,-22,58,47,36,21,75,66,31,20,6,7,1,0,49,27,0
67,39,2,-15,54,67,23,44,61,49,34,39,9,6,0,1,46,31,1
51,79,-17,2,67,66,38,38,67,52,20,25,12,2,0,1,25,48,0
47,47,22,-3,51,43,29,25,54,74,32,29,3,6,0,1,56,43,1
85,77,-17,-50,41,37,17,24,64,75,21,18,16,14,2,0,31,10,1
39,52,-26,-22,51,59,28,32,53,58,42,21,8,8,0,1,29,23,1
50,63,-22,-12,49,39,25,23,71,61,30,16,12,9,0,1,28,27,1
64,72,7,13,72,59,45,33,39,70,38,17,3,6,0,1,36,50,0
87,75,31,36,53,82,32,44,52,48,23,38,8,6,1,0,65,67,0
70,62,46,34,89,79,50,49,50,46,35,51,2,4,0,0,70,59,1
63,79,-13,2,47,64,27,35,56,55,19,30,5,2,1,1,27,49,1
51,75,-17,35,65,76,35,40,64,49,27,33,12,6,0,0,26,67,1
77,52,-51,-24,32,58,19,32,71,53,13,22,12,7,0,1,10,23,0
70,38,49,12,92,54,56,31,55,65,29,28,2,4,0,1,73,49,1
72,39,11,-17,56,60,33,40,69,58,17,40,6,8,1,2,50,31,1
50,67,-21,4,48,59,28,28,74,74,30,30,12,10,0,1,31,49,0
38,47,-21,-3,50,44,20,24,64,67,22,25,9,6,0,1,30,44,0
87,85,32,-16,59,36,37,14,48,61,21,23,8,17,1,2,68,34,1
62,47,31,22,74,54,45,30,50,51,49,28,5,3,1,0,59,57,1
64,39,9,-24,76,61,45,34,37,51,36,43,2,7,0,0,39,32,0
75,62,36,32,67,77,35,45,46,49,32,50,6,5,1,1,70,62,-1
38,51,8,-18,48,63,26,35,55,55,28,31,4,10,1,0,49,26,1
67,64,4,6,57,75,28,45,73,37,32,36,13,3,1,0,50,39,0
52,38,-24,-20,49,67,22,30,57,60,22,32,8,9,0,0,24,33,-1
79,87,0,33,52,62,27,35,58,53,28,28,4,7,0,0,49,71,-1
39,50,-21,-21,68,47,38,24,46,74,43,25,4,13,0,1,35,32,1
39,63,-19,-11,55,55,31,33,61,60,30,23,10,5,2,1,31,30,1
47,77,21,-51,44,46,24,29,51,77,25,15,6,13,0,0,57,11,0
85,70,-17,53,37,90,14,53,59,50,24,29,13,3,1,0,34,76,0
47,72,-4,13,45,51,21,30,63,66,23,17,7,6,1,1,44,53,0
63,47,-13,22,47,42,24,24,63,56,20,24,6,6,2,0,30,60,0
51,47,-22,-5,62,53,36,27,57,64,32,27,9,4,0,1,26,44,0
77,38,-52,12,45,53,30,28,77,57,19,26,11,4,0,1,11,52,-1
72,39,14,-18,60,65,34,38,59,46,18,38,5,3,1,0,56,38,0
50,52,-24,-26,49,50,24,20,68,63,30,27,9,10,1,0,32,24,-1
38,79,-18,-2,63,54,31,28,54,52,32,31,8,5,0,0,36,49,0
64,85,6,-17,68,39,42,16,35,69,29,21,4,12,0,1,40,35,1
62,67,32,4,68,55,38,29,50,86,37,26,7,14,1,1,63,51,0
70,75,53,36,89,59,50,34,48,48,33,29,4,6,0,1,77,71,0
87,39,35,-17,58,62,30,34,58,65,26,31,7,10,0,2,74,34,0
47,87,22,35,48,66,24,37,53,59,21,28,6,6,0,0,61,75,-1
75,50,35,-26,67,40,39,16,47,70,29,27,10,9,1,1,71,32,1
67,70,2,54,48,85,28,48,77,53,20,28,12,5,1,0,51,80,1
52,62,-24,34,58,70,24,34,52,54,27,30,9,7,0,1,27,66,-1
85,51,-17,-21,42,62,21,38,67,56,24,39,11,7,1,0,36,29,0
47,77,-6,-58,56,49,30,32,58,75,28,22,3,10,0,0,44,11,1
39,64,-17,6,62,68,36,44,72,38,26,26,10,4,2,0,35,41,0
38,63,18,-13,64,54,37,26,57,62,24,28,4,6,1,2,55,31,1
79,72,-1,14,49,64,28,33,53,62,28,16,5,6,0,1,52,57,1
39,38,-18,-19,73,66,39,32,47,50,41,35,4,9,0,0,39,36,1
63,62,-17,36,53,67,28,33,74,57,33,26,5,7,2,1,31,69,1
87,70,36,54,61,77,32,46,52,53,32,30,6,6,0,0,78,81,1
79,52,1,-26,52,58,30,28,49,47,29,27,6,9,0,0,55,27,1
38,85,-21,-18,67,54,36,30,55,67,32,30,12,9,0,0,36,36,1
64,51,6,-20,73,60,47,37,37,56,22,40,3,7,0,0,42,32,0
47,39,-5,-16,56,68,32,36,58,43,25,37,4,2,0,0,47,42,0
39,50,-17,-28,65,37,36,15,64,63,20,29,10,7,1,1,36,32,0
47,38,21,22,51,64,25,36,55,55,22,25,6,3,0,0,61,58,0
72,67,12,2,63,43,34,26,51,78,16,13,4,10,1,1,57,52,0
77,75,-59,37,51,69,32,42,75,47,28,30,7,10,0,1,11,74,-1
38,39,22,-17,61,63,36,34,63,67,27,17,6,9,0,0,59,37,0
67,77,3,-63,44,58,28,41,71,71,19,31,11,6,0,0,55,11,0
51,38,-20,-20,50,65,34,38,58,57,31,35,9,13,0,0,33,39,1
52,63,-25,-17,67,45,36,24,49,65,27,29,9,6,0,2,30,32,0
70,47,53,-5,62,61,37,38,58,61,31,27,9,6,0,0,81,48,1
85,72,-19,11,58,74,33,36,67,58,22,22,9,5,0,1,36,57,1
50,64,-28,6,31,82,9,52,60,35,26,27,11,4,1,0,33,43,-1
75,47,41,21,82,50,48,25,41,55,34,27,9,9,1,0,77,62,0
62,79,36,0,71,55,36,31,54,44,27,20,5,6,0,0,70,55,0
39,87,-16,37,57,63,30,32,45,56,32,36,5,6,0,0,43,81,0
63,67,-19,5,37,60,17,36,64,68,32,22,11,6,1,0,32,58,1
87,51,39,-18,65,41,35,27,60,57,34,26,7,8,0,0,84,36,0
77,50,-65,-29,45,36,31,13,70,60,28,30,4,9,0,0,11,33,-1
47,39,20,-18,55,53,27,26,45,50,26,26,6,6,0,0,62,43,1
85,79,-17,-1,62,51,37,30,74,39,26,23,9,4,0,0,39,55,1
72,52,9,-23,75,67,37,38,59,43,22,24,5,7,1,0,57,33,0
38,75,-22,42,48,76,30,42,60,41,23,36,11,7,0,0,39,80,-1
64,62,7,37,77,79,49,37,32,50,22,28,3,4,0,0,46,73,0
47,38,-8,20,60,62,39,35,67,65,25,28,8,5,0,0,48,59,0
39,70,-15,56,55,56,30,34,62,66,15,31,8,9,0,1,40,84,-1
75,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,35,1,1,15,11,11,6,9,10,5,5,2,3,0,0,3,3,0
52,75,-1,1,12,24,6,14,9,11,6,7,0,0,0,0,0,3,1
62,85,1,1,14,14,8,10,12,11,8,7,2,1,0,0,3,3,0
39,51,0,2,11,14,4,8,11,13,6,4,0,1,0,0,1,3,0
54,38,-2,2,8,14,2,10,12,8,3,7,2,0,0,0,0,3,1
64,38,-1,-1,8,6,5,3,12,13,9,1,2,0,0,0,0,0,0
44,47,-1,-1,5,10,4,5,8,11,5,3,0,2,0,0,0,0,0
79,47,-2,1,13,15,8,8,11,14,8,6,1,2,0,0,0,3,0
39,87,-1,4,22,18,9,11,11,10,10,8,1,0,0,0,0,3,-1
72,70,-4,0,12,18,8,12,6,15,3,6,1,3,0,0,0,1,-1
75,39,0,1,39,21,20,12,17,19,12,10,0,1,0,0,3,4,1
51,44,1,-2,23,19,12,8,26,19,10,16,3,3,0,0,3,0,0
47,72,0,-5,19,25,12,14,25,17,8,7,3,3,0,0,3,0,-1
35,39,1,-2,18,32,10,15,25,24,8,17,4,2,0,0,4,0,-1
85,54,0,-1,23,16,14,4,23,27,10,5,2,3,0,0,3,3,1
47,67,-2,1,18,27,8,16,30,20,9,11,4,2,1,0,3,4,1
38,62,1,2,19,30,12,16,13,22,15,22,0,4,0,0,3,6,0
87,64,5,-2,25,26,14,16,27,24,15,21,2,3,0,0,6,0,0
38,79,0,1,18,27,10,17,25,23,7,14,2,1,0,0,3,3,-1
67,75,-2,3,39,59,23,34,41,29,15,24,7,2,0,0,4,6,-1
